Unnamed: 0,Concept,Familiarity (M),日本語
#228,Television,4.82,テレビ
#104,Glass,4.78,ガラス
#167,Pen,4.78,ペン
#97,Fork,4.78,フォーク
#22,Bed,4.72,ベッド
#76,Door,4.68,ドア
#219,Stove,4.65,ストーブ
#139,Light switch,4.58,スイッチ
#203,Shirt,4.56,シャツ
#162,Pants,4.55,パンツ
#79,Dresser,4.52,ドレッサー
#116,Hanger,4.52,ハンガー
#39,Bus,4.5,バス
#215,Spoon,4.5,スプーン
#224,Sweater,4.48,セーター
#130,Knife,4.45,ナイフ
#195,Sandwich,4.45,サンドイッチ
#184,Record player,4.4,レコードプレーヤー
#36,Bread,4.4,パン
#70,Cup,4.4,カップ
#67,Couch,4.4,ソファー
#226,Table,4.35,テーブル
#77,Doorknob,4.25,ドアノブ
#132,Lamp,4.2,ランプ
#177,Plug,4.18,プラグ
#34,Bowl,4.18,ボウル
#194,Saltshaker,4.18,ソルトシェーカー
#29,Blouse,4.18,ブラウス
#101,Frying pan,4.15,フライパン
#26,Belt,4.12,ベルト
#234,Toaster,4.08,トースター
#242,Truck,4.02,トラック
#42,Cake,4.02,ケーキ
#258,Wineglass,4.02,ワイングラス
#125,Jacket,4.0,ジャケット
#178,Pocketbook,3.95,ハンドバッグ
#64,Coat,3.88,コート
#41,Button,3.85,ボタン
#216,Squirrel,3.82,リス
#232,Tie,3.8,ネクタイ
#38,Brush,3.8,ブラシ
#236,Tomato,3.78,トマト
#32,Bottle,3.72,ボトル
#119,Heart,3.72,ハート
#221,Suitcase,3.65,スーツケース
#16,Banana,3.65,バナナ
#123,Iron,3.65,アイロン
#109,Grapes,3.65,ブドウ
#205,Skirt,3.64,スカート
#78,Dress,3.62,ドレス
#229,Tennis racket,3.62,テニスラケット
#111,Guitar,3.58,ギター
#95,Football,3.55,フットボール
#175,Pitcher,3.5,ピッチャー
#247,Vest,3.48,ベスト
#137,Lettuce,3.42,レタス
#199,Screwdriver,3.42,ドライバー
#171,Piano,3.42,ピアノ
#51,Celery,3.4,セロリ
#31,Boot,3.38,ブーツ
#176,Pliers,3.38,ペンチ
#158,Orange,3.34,オレンジ
#147,Motorcycle,3.25,オートバイ
#188,Rocking chair,3.25,ロッキングチェア
#135,Lemon,3.25,レモン
#14,Ball,3.2,ボール
#46,Cap,3.12,キャップ
#218,Stool,3.08,スツール
#252,Watermelon,3.05,スイカ
#87,Fence,3.02,フェンス
#225,Swing,3.02,ブランコ
#93,Fly,3.02,ハエ
#173,Pineapple,2.95,パイナップル
#182,Rabbit,2.95,ウサギ
#193,Sailboat,2.92,ヨット
#170,Pepper,2.92,コショウ
#174,Pipe,2.9,パイプ
#150,Mushroom,2.88,マッシュルーム
#81,Duck,2.75,アヒル
#259,Wrench,2.72,レンチ
#153,Nechlace,2.7,ネックレス
#248,Violin,2.68,バイオリン
#11,Asparagus,2.68,アスパラガス
#5,Ant,2.62,アリ
#80,Drum,2.6,ドラム
#63,Clown,2.6,ピエロ
#243,Trumpet,2.6,トランペット
#145,Monkey,2.58,サル
#142,Lobster,2.58,ロブスター
#120,Helicopter,2.55,ヘリコプター
#156,Nut,2.55,ナット
#56,Chisel,2.46,ノミ
#92,Flute,2.45,フルート
#255,Whistle,2.45,ホイッスル
#110,Grasshopper,2.42,バッタ
#244,Turtle,2.4,カメ
#206,Skunk,2.3,スカンク
#9,Artichoke,2.29,アーティーチョーク
#212,Spider,2.28,クモ
#189,Roller skate,2.25,ローラースケート
#160,Owl,2.22,フクロウ
#25,Bell,2.2,ベル
#1,Accordion,2.15,アコーディオン
#43,Camel,2.08,ラクダ
#164,Peacock,2.05,クジャク
#108,Gorilla,2.05,ゴリラ
#140,Lion,2.0,ライオン
#99,French horn,2.0,ホルン
#136,Leopard,1.92,ヒョウ
#126,Kangaroo,1.92,カンガルー
#107,Goat,1.92,ヤギ
#209,Snake,1.9,ヘビ
#117,Harp,1.88,ハープ
#75,Donkey,1.88,ロバ
#208,Snail,1.85,カタツムリ
#103,Giraffe,1.8,キリン
#169,Penguin,1.7,ペンギン
#3,Alligator,1.65,アリゲーター
#201,Seal,1.62,アザラシ
#260,Zebra,1.6,シマウマ
#186,Rhinoceros,1.52,サイ
#159,Ostrich,1.52,ダチョウ
#200,Sea horse,1.5,タツノオトシゴ
